Track Name,Artist Names,Album Name,Track ID
Leaving The Light,Genesis Owusu,STRUGGLER,35nOLWeyoXbZvhcczCzQit
Bang Bang,Momma,Bang Bang,1FE3y5rW4l9I7prqRLnLi4
Do It Faster,Militarie Gun,Life Under The Gun,51SDO6rVAyqVouNO5AadIy
LIKED U BETTER,Jeff Rosenstock,HELLMODE,7ATdjG4qMp9CIX3sIPnFHv
Opening Night,Scowl,Opening Night,39C4XHkmDebCPGK50NBZGe
Savior Mode,Balance And Composure,Too Quick to Forgive,0G6fFMKdbf7fI3S1gLHSRK
Salt,"Teen Jesus and the Jean Teasers, The Grogans",I Love You,2kLb29wxlXPLYFVSfcg69D
Dream Job,Yard Act,Dream Job,5jZ0Q2yRYnI961sJbyWlK0
Can't Take It Slow,Citizen,Calling the Dogs,6jOZiOe9s7TtTqvSMmuWTj
Dress,Softcult,Dress,1W5VCQ2rBjMBc1ePhXLReP
Moments of Clarity,Narrow Head,Moments of Clarity,35abwQmAZvwCPBPzuXWob1
i heard they found you face down inside your living room,Can't Swim,Thanks but No Thanks,10lsv64UUfs9OSZyRG4aeB
Tonight (demo),Amira Elfeky,Tonight (demo),6p5duPGjAdVYLq2kOGXYUD
Spiral,ThxSoMch,Spiral,1IutoMzbuf3hVtP4KS9W37
PARTY ON MY DEATHBED,Hot Milk,A Call To The Void,6JgiByhbuHVAYvVQSColpN
You're On The List (minus one),Koyo,Would You Miss It?,3RzXiuBSlA9E8HG8VpDO49
to me,Pinkshift,to me,3NijO9nnAGdbQGaOF4Q1Zf
Talkin' On The Internet,Spiritual Cramp,Spiritual Cramp,35u6OtruMBLZYAouGUzRSH
OK,Black Honey,OK,6qNMS8hywSVyaFcH3LqwEn
Return My Head,The Murder Capital,Gigi's Recovery,42aicYYY8atCDSCeWT8fOh
I Thought You'd Change,Hotline TNT,Cartwheel,3ePFWIRZNratB2vjSrSKoP
Sunshine,Teenage Wrist,Still Love,2czqsuJetQmyHxx3M009FX
Still There,PÆRISH,You're in both dreams (and you're scared),6nE6Ays1vUQugTCUiUpi6z
Medication,Webbed Wing,Right After I Smoke This...,4WFjp4EEmScRkNSiAsrEj1
缸,No Party For Cao Dong,瓦合,2OL3D6q6Qs1PY0NV3u4dNu
81 Tonnes,Dead Poet Society,81 Tonnes,45X2Oew48LzoTigtwQ5axt
Dilemma,Green Day,Dilemma,6Gn1Gi5zfCgSiTHikrDjni
Spirit,The Killers,Rebel Diamonds,29ZJZnAXJ28Bewit5RLRKx
When The Devil Speaks…,ThxSoMch,When The Devil Speaks…,2FKnNu9PmgcUSXXBgR2phR
Parasite,Set It Off,Parasite,47yul4OvMZctnAVjrEJ1YC
Heaven,Hands Like Houses,Heaven,2wN75EXN0qbYFH6hNjZ4LJ
Love To Walk Away,The Vaccines,Love To Walk Away,7wykJuA5AbOMLTmsNSi1Cq
Night Of The Hunter,The Libertines,Night Of The Hunter,0ytE5aUxuTyXXrUiQMyHUq
Grace,IDLES,Grace,0j6oelnoCs8StrR26Fm04P
Run Away,MISSIO,I Am Awesome,1YNIxb8vBP5ydmss5skymU
"SHE LOVES ME, SHE LOVES ME NOT",Lauren Sanderson,"SHE LOVES ME, SHE LOVES ME NOT",0uv5OUqpheLNNEsbNvYukI
Deconstruction,"Gibson Band, Serj Tankian, Tony Iommi, Cesar Gueikian",Deconstruction,0qX3XuE9FpgCLoHYzsdIKM
Nimh,SLIFT,Nimh,075VP0RTD4nsbMV7EhJD8O
Chewed Up,Sweet Pill,Chewed Up,5N7EGJubbwKLI2A6Oe4WfA
Tightrope,Footballhead,Tightrope,3NB9YhwxlY9RhEUY5Zw2X7
Shame,Electric Enemy,Shame,2LL0NLJCBpZhxfXL2Mptan
Anxious State of Mind,Dream State,Anxious State of Mind,7uV2jXPIfxEXTDcGSwAgIZ
Rejects (feat. Lil Lotus),"Alexis Munroe, LiL Lotus",Static,0GUS00tUGCCDPzCOFNXDXC
Slow Attack,Mars Red Sky,Dawn of the Dusk,1BwfyBdQnrvuL8bxpQkxBv
The General,Guns N' Roses,The General,4kXbOjC3XfBpFR3zbWbHZv
Video Star,Luna Bay,Video Star,7tnqMTbeRNrj2pgqUfmxLC
Fuck Money,Bonaparte,People vs. Money / Fuck Money,6I3USge1RvJUptS5rpiyvy
u come near,bby,u come near,4C5JVzRg7ca8TtVfwJBnXN
Love Will Fix It,Emil Bulls,Love Will Fix It,1G31J3WpT280dAWvvJcHSA
What're We Doing Here,ALEXSUCKS,What're We Doing Here,23r4WNoHCVaLypbxeHMu8p
Always,The Blinders,Always,7fuzX8L06JinfbGT5Jm3gY
Nowhere,Middle Part,Nowhere,643UKRpMBtdemIrJm22iab
Dog Song,Dolo Tonight,Dog Song,3X610Y3QXfGMKc5zG45EJ4
Red Light,Sterling Elza,Red Light,6hfPlhxjv43raDtoOTkd1B
Vomit Candy,Johnny Mafia,Vomit Candy,21ir1Jx963He5dvy6WeFg5
A. Hole,"Phi11a, BESTIES",A. Hole,6E3Eza0e2suQcGmVDLSa97
Half Zombie,PLAIINS,Half Zombie,1a5LKQKoIfQcVualRfj3Tl
That's Not The World At All,Dream Drop,Acne Superstar,5ATtKCF6JcPSsGqO9oWlfR
3am,Bronnie,3am,3xIux1ZElfdLkTEDUTnk2K
Lost Without You,Lost in Hollywood,Lost Without You,2hFtgaRJpVEf8n2spP2Zxf
Gone,Geddy Lee,The Lost Demos,2N00RnLgnk4g9mrTHIViHy
Undiscovered Paths,The Gems,Undiscovered Paths,0uNKteOpFNHzPy4gDhVo5c
Don't Pretend,Bad Juju,Don't Pretend,4IdbQ9URcg2JQKZAKAJPSJ
XRN,Sierra Annie,XRN,15Yt5G42FjOhzuyRpfevzt
Nothing Matters,The Last Dinner Party,Nothing Matters,3p84R45PM75ngq8XRoe45o
About You,The 1975,Being Funny In A Foreign Language,1fDFHXcykq4iw8Gg7s5hG9
Loving You,Cannons,Heartbeat Highway,5MVJI1eQ7cLoC0fr6NRE69
Modern Girl,Bleachers,Modern Girl,4TPgBDOEVwywalXHFUUUQY
Blame Brett,The Beaches,Blame My Ex,6twjuBZfRJIZnoHrghzWLk
HONEY (ARE U COMING?),Måneskin,HONEY (ARE U COMING?),3tNMdL4qjzNHfo7rlVMESK
Your Side of Town,The Killers,Your Side of Town,3XV77GNuIPYff6T7bzjYy9
Run Away With Me,Cold War Kids,Cold War Kids,459hV1lf1Ia1ofPdYDZQVs
Already Over,Mike Shinoda,Already Over,4Akq61SpQYUE8IuE7hHNH8
ONE MORE TIME,blink-182,ONE MORE TIME...,1ja4311zfLHqUL96poSXfP
Atomic City,U2,Atomic City,0Zp4PR3jLHfxcXdBdRLh7M
The American Dream Is Killing Me,Green Day,The American Dream Is Killing Me,48SmjoT74xf4Zi07EHRt1s
Daylight,David Kushner,Daylight,1odExI7RdWc4BT515LTAwj
Yes I'm A Mess,AJR,Yes I'm A Mess,4Yrt54xR4T8PPOZ7yf9kyT
Normal People Things,Lovejoy,Normal People Things,1vJmd8YIIAz6XQ9GHlUr5p
Summer of Luv (feat. Unknown Mortal Orchestra),"Portugal. The Man, Unknown Mortal Orchestra",Chris Black Changed My Life,2PKbC4uFUY1tcBABpGZ8GQ
Alive!,Bakar,Halo,28cm9uWSKVAfZ0HDBlq4rS
Overcome,Nothing But Thieves,Overcome,18q5OmlDTbSm8w9J1i17dT
Pretty Vicious,The Struts,Pretty Vicious,47d9B59RxiLKUOolxaqoOA
Eat Your Young,Hozier,Unreal Unearth,2SXx7Ofa79CeJfio98aJcG
S’old,Taking Back Sunday,152,3CnO992SN5Pg4teEUJ8z2X
Landmines,Sum 41,Landmines,1O7hVfI7ETQvQmPC0EqfY7
Hold Me Like a Grudge,Fall Out Boy,So Much (For) Stardust,7LJETXmpThAx6IvUzczYNR
nice to know you,lovelytheband,nice to know you,5YgTlbMcCbpzwEA8D67rxM
Shadow (I'm Breaking Down),Destroy Boys,Shadow (I'm Breaking Down),35k8QihhSU5Z7Rqz7FD2nv
Sofa King,Royel Otis,Sofa Kings,25HgUJf69zb3K7TJw7LGCQ
thoughts i have while lying in bed,"The Maine, Beach Weather",thoughts i have while lying in bed (with Beach Weather),7t01uN0kyKMEK8Ow9hhEXa
Good Old Days,The Revivalists,Pour It Out Into The Night,3ycnLH0vm7D9K2QHA4cAnq
Spotless (feat. The Lumineers),"Zach Bryan, The Lumineers",Zach Bryan,0HEytGQM3bG1vKxER7IgVK
Dial Drunk (with Post Malone),"Noah Kahan, Post Malone",Dial Drunk (with Post Malone),22VHOlVYBqytsrAqV8yXBK
The Place That Makes Me Happy,The Moss,The Place That Makes Me Happy,6fOemgTsBaM10g8Rz3unmT
